Content,Likes,URL
"Download the new 
@Grok
 4 app and try out the world’s smartest artificial intelligence!",0,https://x.com/elonmusk/status/1943393540538798263
"TWiST Live: Grok 4 Stuns, Bilt Soars Past Wells Fargo Exit",0,https://x.com/Jason/status/1943719171659092183
"Grok 4 is super strong. Congrats to Elon and xAI team, they cooked ",0,https://x.com/lexfridman/status/1943720028005642312
Grok 4 is smart. Tested a block sparse attention problem which both o3 and Claude opus failed. Grok 4 knows it.,0,https://x.com/bingxu_/status/1943330579426218267
"Grok 4 is a monster.

I just used it to automate research, content, build apps, do code reviews and more.

Here are 10 ways to use Grok 4 and automate your tedious work:",0,https://x.com/godofprompt/status/1943340860575486409
2 minute tutorial on making apps with Grok 4 and deploying instantly with Replit,0,https://x.com/mattppal/status/1943412997227188233
"Just imagine a 2012 Model S getting Grok 4. 13 years later, it will still be the most intelligent vehicle out there in the world. This is going to be happening by latest next week.",0,https://x.com/Teslaconomics/status/1943321171723981037
"Some more cool 
@Grok
 features coming out this weekend",0,https://x.com/elonmusk/status/1943587287528362002
"Just tested Grok 4’s physics simulation skills.
Uploaded a screenshot from SpaceX’s keynote showing Starship’s Earth→Mars orbit.

Asked it to simulate the return trip and it nailed it on the 1st try.",0,https://x.com/luismbat/status/1943560599633531035
"Starlink is now active on more than 1,000 planes around the world! 

Tens of millions of passengers now have access to high-speed, low-latency internet from gate to gate ",0,https://x.com/Starlink/status/1943322658956833045
"Download 
@Grok
!",0,https://x.com/elonmusk/status/1943481991909007794
"Grok 4 was released less than 24 hours ago 

Here are 10 wild examples of people giving you 10 wild examples of Grok 4 that you need to see:",0,https://x.com/KettlebellDan/status/1943475698326478922
"The vibe in the 
@xAI
 office is ",0,https://x.com/elonmusk/status/1943467021691404371
"NEURALINK: Jake Schneider has announced that he is the 7th recipient of Neuralink's Telepathy. The 3rd recipient with ALS. Follow Jake's new X account. Per Jake, ""Life at the intersection of hope & technology. Wired for the impossible.""",0,https://x.com/SERobinsonJr/status/1943349057486741861
Yup,0,https://x.com/elonmusk/status/1943461965604806936
"OMFG THEY DID IT

THANK YOU 
@elonmusk
 THANK YOU 
@xai
 

GROK IS FINALLY USEFUL FOR SEARCHING YOUR OLD POSTS

WOWOWOWOWOW",0,https://x.com/samsheffer/status/1943349076033953877
"This is insane. I've been trying to solve this persistent bug on iOS for a mobile game I'm building with 
@maxhertan
 

Tried o3 MAX, Claude Opus 4 MAX on Cursor multiple times and it couldn't solve this pesky bug where the audio doesn't resume when the iOS app goes out of focus.",0,https://x.com/DannyLimanseta/status/1943334180877930963
This is accurate. We verified Grok 4 using our semi-private ARC datasets.,0,https://x.com/mikeknoop/status/1943179522943394167
Yes. Every X Premium+ subscription includes access to SuperGrok (Grok 4).,0,https://x.com/SawyerMerritt/status/1943176065368887700
We have some epic updates to voice mode,0,https://x.com/ebbyamir/status/1943175624610152826
"xAI Stuns With Grok 4 - ‘Smartest AI In The World’

FULL REPLAY

 Silences removed to save you time
 Increased volume for easier listening",0,https://x.com/stevenmarkryan/status/1943176717792874830
"Thanks to 
@elonmusk
 and the 
@xai
 team for inviting us to share the latest updates to vending bench. Grok 4 jumps to the top of the leaderboard.",0,https://x.com/andonlabs/status/1943182987371098151
"AGI Highlander 
Tonight Grok 4 breaks away from the pack on the ARC-AGI-2 leaderboard — an independent third-party assessment.
• 
@ElonMusk
: on academic tests, 
@Grok
 4 is better than almost all PhDs in all fields
• Over 2x better than the best from OpenAI, and improving fast.",0,https://x.com/FutureJurvetson/status/1943239551067078894
"xAI did something here
grok4 heavy is GOOD",0,https://x.com/IterIntellectus/status/1943228559826337858
,0,https://x.com/elonmusk/status/1943237357937004825
"Grok 4 is at the point where it essentially never gets math/physics exam questions wrong, unless they are skillfully adversarial. 

It can identify errors or ambiguities in questions, then fix the error in the question or answer each variant of an ambiguous question.",0,https://x.com/elonmusk/status/1943230468519788551
"ELON: GROK 4 FIXES YOUR CODE BETTER THAN CURSOR

Tired of rage-scrolling Stack Overflow at 2am?

Just copy-paste your entire broken mess into Grok 4 and it will sniff out the bugs like a bloodhound, explain what went wrong, and hand you cleaner code in seconds.

No IDE plugins.",0,https://x.com/MarioNawfal/status/1943194876163592666
Looking forward to ARC-AGI-3,0,https://x.com/elonmusk/status/1943192643439337753
"You can cut & paste your entire source code file into the query entry box on http://grok.com and 
@Grok
 4 will fix it for you! 

This is what everyone 
@xAI
 does. Works better than Cursor.",0,https://x.com/elonmusk/status/1943178423947661609
"Releasing 
@Grok
 4 from 
@xAI",0,https://x.com/elonmusk/status/1943159458080669927
"Starlink Mini connects to high-speed internet in minutes, even in the most remote locations ",0,https://x.com/Starlink/status/1943080927027978706
"Elon Musk: Even if civilization has just a 1% chance of being annihilated, we should back up the biosphere on another planet.

“Sometimes people are puzzled as to why we're doing it. The reason we're doing it is to make life, consciousness, multiplanetary. So as to preserve the",0,https://x.com/ElonClipsX/status/1942870719819297077
"With each launch of the 
@Starlink
 V2 Mini satellites, ~2.7 Tbps of capacity is added to the constellation, enabling Starlink to connect more people with high-speed internet all around the world while continuing to improve customers' speeds and overall experience",0,https://x.com/SpaceX/status/1942604478122975243
"Installing the redesigned fuel transfer tube into the first next generation Super Heavy booster.

Roughly the same size as the first stage of a Falcon 9 rocket, the new transfer tube is responsible for channeling cryogenic fuel from Super Heavy's main tank to its 33 Raptor",0,https://x.com/SpaceX/status/1942975057040404843
One of our cars is literally floating in space rn,0,https://x.com/Tesla/status/1942656092565049440
"If you want to help support the Texas flood response, you can donate w/ cash, credit, crypto or stock via 
@TheGivingBlock
 to the charity of your choice. I am matching donations and in for a minimum of $500,000.",0,https://x.com/rookisaacman/status/1942660603577090352
independents will find a home in the america party,0,https://x.com/iliketeslas/status/1942650394414395543
How can people be expected to have faith in Trump if he won’t release the Epstein files?,0,https://x.com/elonmusk/status/1942653394168246464
"43% of the US is Independent.

99%+ of Congress is Republican or Democrat.",0,https://x.com/farzyness/status/1942648339578724720
X is ranked as the number 1 news app in Israel.,0,https://x.com/TheCaptainEli/status/1942646819013681192
"""To the 10s of thousands of video, they turned out to be child p*rn...never gonna be released.""

WITH WHO???????",0,https://x.com/Rothmus/status/1942628702845804552
"JOE ROGAN: ""How do you put someone in jail and you don't even name the clients?""

ELON MUSK: ""Whenever they raided Epstein's place, there would have been like a mountain of evidence. Where is that mountain? The public will be rightly frustrated if no one is prosecuted.""",0,https://x.com/cb_doge/status/1942639484530745422
"They arrested (and killed) Peanut, but have not even tried to file charges against anyone on the Epstein client list.

Government is deeply broken.",0,https://x.com/elonmusk/status/1942636971450589642
"9/
The Epstein case isn’t over.
It’s the Rosetta Stone of public trust.
And if we don’t get to the bottom of it,
we’ll never restore what’s already been lost.",0,https://x.com/glennbeck/status/1942444247044734996
"Elon Musk: The national debt is actually double what people think it is because of our future obligations.

“The government's one big pyramid scheme. Social Security is the biggest Ponzi scheme of all time. People pay into Social Security and the money goes out of Social Security",0,https://x.com/ElonClipsX/status/1942525030279114827
"A bit of clarification--though I don’t think my circumstances are particularly interesting or consequential. That said, and regardless of the points below, the President is entitled to assemble the leadership team he believes will best serve his administration.

I have been",0,https://x.com/rookisaacman/status/1942294532202078437
Tesla crushed it with the new Tesla Model Y.  Such an amazing car.  Much improved from previous version.,0,https://x.com/heydave7/status/1942258118710476992
"I didn’t buy my Cybertruck for its off-road capability, but yesterday I was thankful for it. It’s like crash safety that way: when you need it you *really* need it.",0,https://x.com/jamesdouma/status/1942255588198773001
"Tesla V4 Supercharging is pretty nice

In 10 minutes, I was able to go from 2% to 36%, adding about 100 miles of range — enough to make it to my destination.

And this is just 325 kW. Soon it will support up to 500 kW.",0,https://x.com/WholeMarsBlog/status/1941807901976486017
"If the entire government is protecting pedophiles, it has officially become the government against the people.  

I hope you all understand that.",0,https://x.com/SarahisCensored/status/1942114841373646910
elon's response to trump,0,https://x.com/TSLAshareholder/status/1942015693333176530
Thomas Sowell on ever expanding government bureaucracies and budgets,0,https://x.com/TheRabbitHole84/status/1942031253089439969
"The more I read the news around the world, the more I realize that going to Mars is becoming a necessity.",0,https://x.com/dvorahfr/status/1942132048254161143
AI video generation is advancing at the speed of light,0,https://x.com/elonmusk/status/1942141828842881080
"What’s the time? Oh look, it’s no-one-has-been-arrested-o’clock again …",0,https://x.com/elonmusk/status/1942132189229162960
"NEWS: Both Hawaiian and Qatar Airways set new standard for in-flight Wi-Fi thanks to 
@Starlink
’s high-speed connectivity.",0,https://x.com/SawyerMerritt/status/1941979966607901162
The America Party is needed to fight the Republican/Democrat Uniparty,0,https://x.com/elonmusk/status/1942003079521472760
"I would be livid if I was Elon.  Imagine you go all-in, receive tons of death threats, your companies are under fire, but you keep your head on the mission to cut costs thinking you’re doing your part to save our country.  You bring in the best and brightest young minds,",0,https://x.com/heydave7/status/1942001391498592548
"Elon Musk hasn’t changed. Last year, he was fighting to stop out-of-control spending and save America from bankruptcy. Today, he’s still on the same mission. Same goal. Same fight. Others changed, he didn’t.",0,https://x.com/cb_doge/status/1941993156981215327
The America Party is the solution,0,https://x.com/elonmusk/status/1941999399195861470
"The 
@Starlink
 team and 
@TMobile
 have also enabled basic texting (SMS) through our Direct to Cell satellites for TMo customers in the areas impacted by flooding in Texas. This includes Kerr County, Kendall County, Llano County, Travis County and Comal County.

Additionally, anyone",0,https://x.com/SpaceX/status/1941993699556122863
"While watching fireworks on the 4th of July, I realized that ALS had taken this experience from my family! 
@Neuralink
 gave me that back!

It is hotter than Satan’s armpit in Arizona for the 4th, even at night. We didn’t bother going to fireworks when it was 105F at night.

In",0,https://x.com/ALScyborg/status/1941860155836322027
"Grok understands memes. 

Think about that.",0,https://x.com/elonmusk/status/1941990192631394792
"Average annual stockholder returns by $TSLA & $AAPL CEO:

•  Elon Musk (Tesla): 36.3%
•  Steve Jobs (Apple): 24.9%
•  Tim Cook (Apple): 22.5%
•  John Sculley (Apple): -5.0%",0,https://x.com/ICannot_Enough/status/1941844996832874841
